location,site,year1stTag,tag,plot,dah2011.cm,height2011.cm,basal_stems2011,fruit2011,comments2011,fruit.jul.2012,notes.jul.2012,dah.2012,hgt.2012,basal.stems.2012,frt.2012,frt.err.2012,notes.2012,dah.max.2012,mortality.2012
long_island,caleb_smith,2011,CS-16,12,0.04,4,1,0,,0,,NA,NA,NA,NA,,Not Found,,
long_island,caleb_smith,2011,CS-17,12,0.1,9,1,0,,0,,NA,NA,NA,NA,,Not Found,,
long_island,caleb_smith,2012,CS12-72,12,,,,,,,,NA,NA,NA,NA,,Dead - tag recovered,,
long_island,caleb_smith,2011,2127,13,0.8,185,1,0,,0,,0.9,188,1,0,,,,
long_island,caleb_smith,2011,2128,13,0.5,95,1,0,,0,,0.55,98,1,0,,,,
long_island,caleb_smith,2011,2129,13,0.59,114,1,0,,0,,0.62,112,1,0,,,,
long_island,caleb_smith,2011,2130,13,0.4,67,1,0,,0,,0.4,70,1,0,,,,
long_island,caleb_smith,2011,2131,13,0.42,90,1,0,one large dead stem also,0,,0.45,88,3,0,,Dead stem gone,,
long_island,caleb_smith,2011,2132,13,1.49,340,4,0,leaning over on its side,0,,1.48,317,4,0,,,,
long_island,caleb_smith,2011,2133,13,0.91,340,3,0,leaning over on its side,0,,0.94,257,3,0,,,,
long_island,caleb_smith,2011,2134,13,1.84,400,6,0,leaning over on its side,0,,1.88,401,6,0,,,,
long_island,caleb_smith,2011,2135,13,0.31,39,1,0,,0,,0.36,48,1,0,,,,
long_island,caleb_smith,2012,CS12-126,13,,,,,,0,,0.07,8,1,0,,,,
long_island,caleb_smith,2012,CS12-127,13,,,,,,0,,0.09,13,1,0,,,,
long_island,caleb_smith,2012,CS12-128,13,,,,,,0,,NA,NA,NA,NA,,Not found,,
long_island,caleb_smith,2011,2136,14,2,336,2,0,,1,,2.21,352,7,0,,,,
long_island,caleb_smith,2011,2137,14,0.4,67,1,0,,0,,0.44,65,1,0,,,,
long_island,caleb_smith,2011,2138,14,0.5,70,1,0,,0,,0.51,68,2,0,,,,
long_island,caleb_smith,2011,2139,14,1.1,252,1,0,,0,,1.34,255,1,0,,Knocked over,,
